FREQ_code,REF_AREA_code,IND_TYPE_code,LIVELLO_code,VALUE,date
A,ATO2,DEP_ESER,1,518,2008
A,ATO2,DEP_ESER,1,658,2012
A,ATO2,DEP_ESER,2,64,1999
A,ATO2,DEP_ESER,2,93,2005
A,ATO2,DEP_ESER,2,101,2008
A,ATO2,DEP_ESER,2,112,2012
A,ATO2,DEP_ESER,3,4,1999
A,ATO2,DEP_ESER,3,4,2005
A,ATO2,DEP_ESER,3,5,2008
A,ATO2,DEP_ESER,3,7,2012
A,ATO2,DEP_ESER,9,370,1999
A,ATO2,DEP_ESER,9,580,2005
A,ATO2,DEP_ESER,9,624,2008
A,ATO2,DEP_ESER,9,777,2012
A,ATO22,AES_EFF,1,51692,1999
A,ATO22,AES_EFF,1,63973,2005
A,ATO22,AES_EFF,1,73318,2008
A,ATO22,AES_EFF,1,26558,2012
A,ATO22,AES_EFF,2,51979,1999
A,ATO22,AES_EFF,2,58418,2005
A,ATO22,AES_EFF,2,58122,2008
A,ATO22,AES_EFF,2,36253,2012
A,ATO22,AES_EFF,3,110201,1999
A,ATO22,AES_EFF,3,194180,2005
A,ATO22,AES_EFF,3,197744,2008
A,ATO22,AES_EFF,3,120251,2012
A,ATO22,AES_EFF,9,213872,1999
A,ATO22,AES_EFF,9,316571,2005
A,ATO22,AES_EFF,9,329184,2008
A,ATO22,AES_EFF,9,183062,2012
A,ATO22,DEP_ESER,1,241,1999
A,ATO22,DEP_ESER,1,295,2005
A,ATO22,DEP_ESER,1,312,2008
A,ATO22,DEP_ESER,1,337,2012
A,ATO22,DEP_ESER,2,46,1999
A,ATO22,DEP_ESER,2,50,2005
A,ATO22,DEP_ESER,2,47,2008
A,ATO22,DEP_ESER,2,45,2012
A,ATO22,DEP_ESER,3,12,1999
A,ATO22,DEP_ESER,3,14,2005
A,ATO22,DEP_ESER,3,14,2008
A,ATO22,DEP_ESER,3,23,2012
A,ATO22,DEP_ESER,9,299,1999
A,ATO22,DEP_ESER,9,359,2005
A,ATO22,DEP_ESER,9,373,2008
A,ATO22,DEP_ESER,9,405,2012
A,ATO23,AES_EFF,1,12260,1999
A,ATO23,AES_EFF,1,19300,2005
A,ATO23,AES_EFF,1,10548,2008
A,ATO23,AES_EFF,1,11149,2012
A,ATO23,AES_EFF,2,71889,1999
A,ATO23,AES_EFF,2,102111,2005
A,ATO23,AES_EFF,2,103149,2008
A,ATO23,AES_EFF,2,111887,2012
A,ATO23,AES_EFF,3,729976,1999
A,ATO23,AES_EFF,3,818542,2005
A,ATO23,AES_EFF,3,910222,2008
A,ATO23,AES_EFF,3,801824,2012
A,ATO23,AES_EFF,9,814125,1999
A,ATO23,AES_EFF,9,939953,2005
A,ATO23,AES_EFF,9,1023919,2008
A,ATO23,AES_EFF,9,924860,2012
A,ATO23,DEP_ESER,1,79,1999
A,ATO23,DEP_ESER,1,146,2005
A,ATO23,DEP_ESER,1,124,2008
A,ATO23,DEP_ESER,1,170,2012
A,ATO23,DEP_ESER,2,69,1999
A,ATO23,DEP_ESER,2,91,2005
A,ATO23,DEP_ESER,2,87,2008
A,ATO23,DEP_ESER,2,89,2012
A,ATO23,DEP_ESER,3,32,1999
A,ATO23,DEP_ESER,3,39,2005
A,ATO23,DEP_ESER,3,38,2008
A,ATO23,DEP_ESER,3,36,2012
A,ATO23,DEP_ESER,9,180,1999
A,ATO23,DEP_ESER,9,276,2005
A,ATO23,DEP_ESER,9,249,2008
A,ATO23,DEP_ESER,9,295,2012
A,ATO24,AES_EFF,1,3750,1999
A,ATO24,AES_EFF,1,5225,2005
A,ATO24,AES_EFF,1,7207,2008
A,ATO24,AES_EFF,1,7871,2012
A,ATO24,AES_EFF,2,17657,1999
A,ATO24,AES_EFF,2,22300,2005
A,ATO24,AES_EFF,2,7278,2008
A,ATO24,AES_EFF,2,9681,2012
A,ATO24,AES_EFF,3,347295,1999
A,ATO24,AES_EFF,3,344910,2005
A,ATO24,AES_EFF,3,418240,2008
A,ATO24,AES_EFF,3,523434,2012
A,ATO24,AES_EFF,9,368702,1999
A,ATO24,AES_EFF,9,372435,2005
A,ATO24,AES_EFF,9,432725,2008
A,ATO24,AES_EFF,9,540986,2012
A,ATO24,DEP_ESER,1,18,1999
A,ATO24,DEP_ESER,1,31,2005
A,ATO24,DEP_ESER,1,57,2008
A,ATO24,DEP_ESER,1,61,2012
A,ATO24,DEP_ESER,2,11,1999
A,ATO24,DEP_ESER,2,16,2005
A,ATO24,DEP_ESER,2,12,2008
A,ATO24,DEP_ESER,2,10,2012
A,ATO24,DEP_ESER,3,22,1999
A,ATO24,DEP_ESER,3,22,2005
A,ATO24,DEP_ESER,3,23,2008
A,ATO24,DEP_ESER,3,32,2012
A,ATO24,DEP_ESER,9,51,1999
A,ATO24,DEP_ESER,9,69,2005
A,ATO24,DEP_ESER,9,92,2008
A,ATO24,DEP_ESER,9,103,2012
A,ATO25,AES_EFF,1,1150,1999
A,ATO25,AES_EFF,1,1150,2005
A,ATO25,AES_EFF,1,1150,2008
A,ATO25,AES_EFF,1,100,2012
A,ATO25,AES_EFF,2,14753,2008
A,ATO25,AES_EFF,2,0,2012
A,ATO25,AES_EFF,3,602455,1999
A,ATO25,AES_EFF,3,611767,2005
A,ATO25,AES_EFF,3,621968,2008
A,ATO25,AES_EFF,3,575999,2012
A,ATO25,AES_EFF,9,603605,1999
A,ATO25,AES_EFF,9,612917,2005
A,ATO25,AES_EFF,9,637871,2008
A,ATO25,AES_EFF,9,576099,2012
A,ATO25,DEP_ESER,1,1,1999
A,ATO25,DEP_ESER,1,1,2005
A,ATO25,DEP_ESER,1,1,2008
A,ATO25,DEP_ESER,1,2,2012
A,ATO25,DEP_ESER,2,1,2008
A,ATO25,DEP_ESER,2,1,2012
A,ATO25,DEP_ESER,3,8,1999
A,ATO25,DEP_ESER,3,9,2005
A,ATO25,DEP_ESER,3,10,2008
A,ATO25,DEP_ESER,3,10,2012
A,ATO25,DEP_ESER,9,9,1999
A,ATO25,DEP_ESER,9,10,2005
A,ATO25,DEP_ESER,9,12,2008
A,ATO25,DEP_ESER,9,13,2012
A,ATO26,AES_EFF,1,8317,1999
A,ATO26,AES_EFF,1,9039,2005
A,ATO26,AES_EFF,1,5170,2008
A,ATO26,AES_EFF,1,6096,2012
A,ATO26,AES_EFF,2,54176,1999
A,ATO26,AES_EFF,2,64229,2005
A,ATO26,AES_EFF,2,66602,2008
A,ATO26,AES_EFF,2,71171,2012
A,ATO26,AES_EFF,3,196269,1999
A,ATO26,AES_EFF,3,201660,2005
A,ATO26,AES_EFF,3,204356,2008
A,ATO26,AES_EFF,3,173651,2012
A,ATO26,AES_EFF,9,258762,1999
A,ATO26,AES_EFF,9,274928,2005
A,ATO26,AES_EFF,9,276128,2008
A,ATO26,AES_EFF,9,250918,2012
A,ATO26,DEP_ESER,1,32,1999
A,ATO26,DEP_ESER,1,36,2005
A,ATO26,DEP_ESER,1,23,2008
A,ATO26,DEP_ESER,1,29,2012
A,ATO26,DEP_ESER,2,54,1999
A,ATO26,DEP_ESER,2,61,2005
A,ATO26,DEP_ESER,2,58,2008
A,ATO26,DEP_ESER,2,71,2012
A,ATO26,DEP_ESER,3,20,1999
A,ATO26,DEP_ESER,3,23,2005
A,ATO26,DEP_ESER,3,24,2008
A,ATO26,DEP_ESER,3,12,2012
A,ATO26,DEP_ESER,9,106,1999
A,ATO26,DEP_ESER,9,120,2005
A,ATO26,DEP_ESER,9,105,2008
A,ATO26,DEP_ESER,9,112,2012
A,ATO27,AES_EFF,1,1572,1999
A,ATO27,AES_EFF,1,1572,2005
A,ATO27,AES_EFF,1,4093,2008
A,ATO27,AES_EFF,1,2663,2012
A,ATO27,AES_EFF,2,957,1999
A,ATO27,AES_EFF,2,1484,2005
A,ATO27,AES_EFF,2,1134,2008
A,ATO27,AES_EFF,3,2144282,1999
A,ATO27,AES_EFF,3,2147282,2005
A,ATO27,AES_EFF,3,2155124,2008
A,ATO27,AES_EFF,3,1453767,2012
A,ATO27,AES_EFF,9,2146811,1999
A,ATO27,AES_EFF,9,2150338,2005
A,ATO27,AES_EFF,9,2160351,2008
A,ATO27,AES_EFF,9,1456430,2012
A,ATO27,DEP_ESER,1,22,1999
A,ATO27,DEP_ESER,1,22,2005
A,ATO27,DEP_ESER,1,37,2008
A,ATO27,DEP_ESER,1,38,2012
A,ATO27,DEP_ESER,2,5,1999
A,ATO27,DEP_ESER,2,6,2005
A,ATO27,DEP_ESER,2,5,2008
A,ATO27,DEP_ESER,3,5,1999
A,ATO27,DEP_ESER,3,5,2005
A,ATO27,DEP_ESER,3,5,2008
A,ATO27,DEP_ESER,3,10,2012
A,ATO27,DEP_ESER,9,32,1999
A,ATO27,DEP_ESER,9,33,2005
A,ATO27,DEP_ESER,9,47,2008
A,ATO27,DEP_ESER,9,48,2012
A,ATO28,AES_EFF,1,44862,1999
A,ATO28,AES_EFF,1,47092,2005
A,ATO28,AES_EFF,1,8665,2008
A,ATO28,AES_EFF,1,8210,2012
A,ATO28,AES_EFF,2,46481,1999
A,ATO28,AES_EFF,2,52816,2005
A,ATO28,AES_EFF,2,63960,2008
A,ATO28,AES_EFF,2,90530,2012
A,ATO28,AES_EFF,3,478586,1999
A,ATO28,AES_EFF,3,582129,2005
A,ATO28,AES_EFF,3,612581,2008
A,ATO28,AES_EFF,3,468662,2012
A,ATO28,AES_EFF,9,569929,1999
A,ATO28,AES_EFF,9,682037,2005
A,ATO28,AES_EFF,9,685205,2008
A,ATO28,AES_EFF,9,567402,2012
A,ATO28,DEP_ESER,1,22,1999
A,ATO28,DEP_ESER,1,34,2005
A,ATO28,DEP_ESER,1,41,2008
A,ATO28,DEP_ESER,1,63,2012
A,ATO28,DEP_ESER,2,41,1999
A,ATO28,DEP_ESER,2,48,2005
A,ATO28,DEP_ESER,2,48,2008
A,ATO28,DEP_ESER,2,68,2012
A,ATO28,DEP_ESER,3,39,1999
A,ATO28,DEP_ESER,3,48,2005
A,ATO28,DEP_ESER,3,55,2008
A,ATO28,DEP_ESER,3,59,2012
A,ATO28,DEP_ESER,9,102,1999
A,ATO28,DEP_ESER,9,130,2005
A,ATO28,DEP_ESER,9,144,2008
A,ATO28,DEP_ESER,9,190,2012
A,ATO29,AES_EFF,1,13992,1999
A,ATO29,AES_EFF,1,18597,2005
A,ATO29,AES_EFF,1,22632,2008
A,ATO29,AES_EFF,1,37923,2012
A,ATO29,AES_EFF,2,25702,1999
A,ATO29,AES_EFF,2,30564,2005
A,ATO29,AES_EFF,2,38285,2008
A,ATO29,AES_EFF,2,55367,2012
A,ATO29,AES_EFF,3,840434,1999
A,ATO29,AES_EFF,3,845884,2005
A,ATO29,AES_EFF,3,890943,2008
A,ATO29,AES_EFF,3,982836,2012
A,ATO29,AES_EFF,9,880128,1999
A,ATO29,AES_EFF,9,895045,2005
A,ATO29,AES_EFF,9,951860,2008
A,ATO29,AES_EFF,9,1076126,2012
A,ATO29,DEP_ESER,1,56,1999
A,ATO29,DEP_ESER,1,76,2005
A,ATO29,DEP_ESER,1,89,2008
A,ATO29,DEP_ESER,1,120,2012
A,ATO29,DEP_ESER,2,28,1999
A,ATO29,DEP_ESER,2,29,2005
A,ATO29,DEP_ESER,2,36,2008
A,ATO29,DEP_ESER,2,34,2012
A,ATO29,DEP_ESER,3,41,1999
A,ATO29,DEP_ESER,3,43,2005
A,ATO29,DEP_ESER,3,48,2008
A,ATO29,DEP_ESER,3,47,2012
A,ATO29,DEP_ESER,9,125,1999
A,ATO29,DEP_ESER,9,148,2005
A,ATO29,DEP_ESER,9,173,2008
A,ATO29,DEP_ESER,9,201,2012
A,ATO3,AES_EFF,1,44835,1999
A,ATO3,AES_EFF,1,59245,2005
A,ATO3,AES_EFF,1,50865,2008
A,ATO3,AES_EFF,1,59128,2012
A,ATO3,AES_EFF,2,378777,1999
A,ATO3,AES_EFF,2,442936,2005
A,ATO3,AES_EFF,2,549991,2008
A,ATO3,AES_EFF,2,699574,2012
A,ATO3,AES_EFF,3,3041783,1999
A,ATO3,AES_EFF,3,3046583,2005
A,ATO3,AES_EFF,3,3046446,2008
A,ATO3,AES_EFF,3,2616345,2012
A,ATO3,AES_EFF,9,3465395,1999
A,ATO3,AES_EFF,9,3548764,2005
A,ATO3,AES_EFF,9,3647302,2008
